# GXMame 0.7@@@@@@|NOID|NOCRC|x|2||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
# Name xmame@@@@@@|NOID|NOCRC|x|0||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
# Version version 0.106 (Jun 27 2006)@@@@@@|NOID|NOCRC|x|0||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
# list of xmame games for GXMame front-end@@@@@@|NOID|NOCRC|x|0||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
# The fileformat is: romnamegamenamegamenameextthe_traileryearmanufacturercloneofromofdriverstatuscolorscpu1cpu1_clockcpu2cpu2_clockcpu3cpu3_clockcpu4cpu4_clocksound1sound1_clocksound2sound2_clocksound3sound3_clocksound4sound4_clocknum_playersnum_buttonscontrolvectorscreen_xscreen_yscreen_freqhorizontalchannelsnum_romsnum_samplessampleof@@@@@@|NOID|NOCRC|x|0||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
puckman@@-@@-@@PuckMan (Japan set 1, Probably Bootleg)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Namco|dev-unknown|No Rating|media-unknown|input-unknown|pacman
puckmana@@puckman@@puckman@@PuckMan (Japan set 2)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Namco|dev-unknown|No Rating|media-unknown|input-unknown|pacman
puckmanf@@puckman@@puckman@@PuckMan (Japan set 1 with speedup hack)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Namco|dev-unknown|No Rating|media-unknown|input-unknown|pacman
puckmanh@@puckman@@puckman@@Puckman (Falcom?)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
pacman@@puckman@@puckman@@Pac-Man (Midway)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|[Namco] (Midway license)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
pacmanf@@puckman@@puckman@@Pac-Man (Midway, with speedup hack)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|[Namco] (Midway license)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
puckmod@@puckman@@puckman@@PuckMan (Japan set 3)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Namco|dev-unknown|No Rating|media-unknown|input-unknown|pacman
pacmod@@puckman@@puckman@@Pac-Man (Midway, harder)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|[Namco] (Midway license)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
newpuc2@@puckman@@puckman@@Newpuc2|NOID|NOCRC|x|0|1980|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
newpuc2b@@puckman@@puckman@@Newpuc2 (set 2)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
newpuckx@@puckman@@puckman@@New Puck-X|NOID|NOCRC|x|0|1980|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
pacheart@@puckman@@puckman@@Pac-Man (Hearts)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
hangly@@puckman@@puckman@@Hangly-Man (set 1)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
hangly2@@puckman@@puckman@@Hangly-Man (set 2)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
hangly3@@puckman@@puckman@@Hangly-Man (set 3)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
piranhah@@puckman@@puckman@@Piranha (hack)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
abscam@@puckman@@puckman@@Abscam|NOID|NOCRC|x|0|1981|No Genre|region-unknown|GL (US Billiards License)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
crush@@-@@-@@Crush Roller (Kural Samno)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Kural Samno Electric|dev-unknown|No Rating|media-unknown|input-unknown|pacman
crush2@@crush@@crush@@Crush Roller (Kural Esco - bootleg?)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Kural Esco Electric|dev-unknown|No Rating|media-unknown|input-unknown|pacman
crush3@@crush@@crush@@Crush Roller (Kural - bootleg?)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Kural Electric|dev-unknown|No Rating|media-unknown|input-unknown|pacman
crush4@@crush@@crush@@Crush Roller (Kural TWT)|NOID|NOCRC|x|0||No Genre|region-unknown|Kural TWT|dev-unknown|No Rating|media-unknown|input-unknown|pacman
maketrax@@crush@@crush@@Make Trax (set 1)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|[Kural] (Williams license)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
maketrxb@@crush@@crush@@Make Trax (set 2)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|[Kural] (Williams license)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
korosuke@@crush@@crush@@Korosuke Roller|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Kural Electric|dev-unknown|No Rating|media-unknown|input-unknown|pacman
mbrush@@crush@@crush@@Magic Brush|NOID|NOCRC|x|0|1981|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|pacman
paintrlr@@crush@@crush@@Paint Roller|NOID|NOCRC|x|0|1981|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|pacman
pacplus@@-@@-@@Pac-Man Plus|NOID|NOCRC|x|0|1982|No Genre|region-unknown|[Namco] (Midway license)|dev-unknown|No Rating|media-unknown|input-unknown|pacman
joyman@@puckman@@puckman@@Joyman|NOID|NOCRC|x|0|1982|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
ctrpllrp@@puckman@@puckman@@Caterpillar Pacman Hack|NOID|NOCRC|x|0|1982|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|pacman
